Key;EN;FR
Subtitle;Survive and overcome the boss !;Survivez jusqu'à battre le boss !
Language;English;Français
Start;Start;Jouer
Tutorial;Tutorial;Tutoriel
Quit;Quit;Quitter
Return;Return;Retour
option_language;Language;Langue
altar_select;Select;Choisir
Resume;Resume;Reprendre
fullscreen;Fullscreen;Plein écran
windowed;Windowed;Fenêtrée
Music_volume;Music volume;Volume musique
SFX_Volume;Sfx Volume;Volume effets sonores
Reset_Save;Reset Save;Réinitialiser la sauvegarde
Stele_Count;Destroy the steles;Détruisez les stèles
Leave;Ship Ready;Vaisseau prêt
QuitMenu;Give up;Abandonner
QuitDesktop;Exit the game;Quitter le jeu
MainMenu;Main Menu;Menu Principal
Equipment;Equipment;Equipements
StartGame;Take-off;Décollage
Weapon;Weapon;Armes
Character;Character;Personnages
Next;Next;Suivant
